Land-Ocean: Southern Hemispheric Means (J-D)
Year,No_Smoothing,Lowess(5)
1880,-0.04,0.02
1881,0.01,-0.02
1882,0.00,-0.05
1883,-0.06,-0.09
1884,-0.14,-0.12
1885,-0.23,-0.15
1886,-0.19,-0.17
1887,-0.28,-0.18
1888,-0.11,-0.18
1889,-0.03,-0.18
1890,-0.32,-0.17
1891,-0.19,-0.17
1892,-0.15,-0.18
1893,-0.15,-0.17
1894,-0.23,-0.15
1895,-0.16,-0.14
1896,-0.02,-0.13
1897,-0.04,-0.13
1898,-0.25,-0.12
1899,-0.14,-0.14
1900,-0.06,-0.17
1901,-0.18,-0.20
1902,-0.22,-0.23
1903,-0.36,-0.24
1904,-0.45,-0.26
1905,-0.21,-0.28
1906,-0.19,-0.30
1907,-0.28,-0.32
1908,-0.38,-0.34
1909,-0.46,-0.36
1910,-0.41,-0.36
1911,-0.45,-0.33
1912,-0.24,-0.29
1913,-0.25,-0.26
1914,-0.09,-0.24
1915,-0.12,-0.22
1916,-0.30,-0.22
1917,-0.35,-0.22
1918,-0.19,-0.23
1919,-0.19,-0.24
1920,-0.23,-0.25
1921,-0.25,-0.26
1922,-0.29,-0.27
1923,-0.30,-0.28
1924,-0.35,-0.29
1925,-0.29,-0.29
1926,-0.21,-0.29
1927,-0.29,-0.29
1928,-0.29,-0.29
1929,-0.38,-0.28
1930,-0.28,-0.28
1931,-0.21,-0.28
1932,-0.25,-0.27
1933,-0.31,-0.26
1934,-0.24,-0.25
1935,-0.29,-0.24
1936,-0.25,-0.22
1937,-0.17,-0.18
1938,-0.18,-0.12
1939,-0.12,-0.07
1940,0.10,-0.03
1941,0.17,0.01
1942,0.01,0.04
1943,-0.01,0.04
1944,0.15,0.01
1945,0.09,-0.03
1946,-0.16,-0.07
1947,-0.13,-0.11
1948,-0.19,-0.15
1949,-0.19,-0.16
1950,-0.20,-0.16
1951,-0.18,-0.15
1952,-0.03,-0.15
1953,-0.07,-0.15
1954,-0.25,-0.14
1955,-0.20,-0.12
1956,-0.16,-0.11
1957,0.06,-0.10
1958,-0.02,-0.07
1959,-0.06,-0.05
1960,-0.12,-0.04
1961,0.03,-0.06
1962,-0.06,-0.07
1963,-0.03,-0.07
1964,-0.20,-0.08
1965,-0.07,-0.08
1966,-0.09,-0.07
1967,-0.08,-0.05
1968,-0.09,-0.01
1969,0.14,0.02
1970,0.09,0.06
1971,-0.02,0.09
1972,0.20,0.09
1973,0.23,0.09
1974,0.03,0.09
1975,0.02,0.10
1976,0.01,0.11
1977,0.24,0.14
1978,0.11,0.18
1979,0.25,0.22
1980,0.35,0.25
1981,0.27,0.27
1982,0.22,0.28
1983,0.38,0.28
1984,0.27,0.28
1985,0.23,0.29
1986,0.23,0.31
1987,0.40,0.31
1988,0.40,0.33
1989,0.27,0.34
1990,0.37,0.34
1991,0.40,0.33
1992,0.31,0.32
1993,0.27,0.32
1994,0.26,0.33
1995,0.31,0.34
1996,0.40,0.36
1997,0.41,0.37
1998,0.51,0.38
1999,0.27,0.40
2000,0.28,0.41
2001,0.43,0.42
2002,0.54,0.43
2003,0.49,0.45
2004,0.41,0.47
2005,0.49,0.47
2006,0.46,0.47
2007,0.47,0.48
2008,0.40,0.49
2009,0.59,0.49
2010,0.55,0.50
2011,0.47,0.52
2012,0.48,0.54
2013,0.55,0.56
2014,0.57,0.58
2015,0.62,0.62
2016,0.72,0.65
2017,0.67,0.67
2018,0.66,0.67
2019,0.75,0.67
2020,0.68,0.68
2021,0.55,0.68
2022,0.62,0.69
2023,0.85,0.69
